Etat,Milieage,Tran,CarCar,CarVen,technical_details,seats,fillcareName,Price,etatCategory,Month,Year,PuissanceV2,TransmissionV2,CylindréeV2,VitessesV2,CylindresV2,HorsePower
Très bon prix,148773,Boîte manuelle,Diesel,Professionnel,7.0,5,CHEVROLET-ORLANDO,3990,3,7.0,2012.0,120,Boîte manuelle,1998,1,1655.0,163
Très bon prix,207348,Boîte manuelle,Diesel,Professionnel,5.0,5,BMW-318,3990,3,3.0,2010.0,100,Boîte manuelle,1995,1,,136
Très bon prix,221000,Boîte manuelle,Diesel,Professionnel,7.0,5,PEUGEOT-5008,4500,3,1.0,2016.0,85,Boîte manuelle,1560,8,1565.0,116
Très bon prix,118431,Boîte manuelle,Essence,Professionnel,5.0,5,PEUGEOT-208,4950,3,4.0,2018.0,50,Boîte manuelle,1199,5,1035.0,68
Très bon prix,133000,Boîte manuelle,Essence,Professionnel,5.0,3,VOLKSWAGEN-GOLF,5999,3,1.0,2010.0,59,Boîte manuelle,1390,5,1142.0,80
Pas d'information,131860,Boîte automatique,Diesel,Professionnel,5.0,5,LAND ROVER-DISCOVERY SPORT,129901,0,2.0,2018.0,110,Boîte automatique,1999,1,,150
Très bon prix,185414,Boîte manuelle,Diesel,Professionnel,4.0,3,VOLVO-C30,2250,3,6.0,2007.0,80,Boîte manuelle,1560,8,1362.0,109
Pas d'information,131000,Boîte manuelle,Essence,Professionnel,5.0,5,PEUGEOT-PARTNER,1950,0,6.0,2004.0,80,Boîte manuelle,1587,8,1260.0,109
Très bon prix,259000,Boîte automatique,Diesel,Professionnel,5.0,5,BMW-218,7450,3,5.0,2016.0,110,Boîte automatique,1995,1,1485.0,150
Très bon prix,187223,Boîte manuelle,Diesel,Professionnel,5.0,5,CITROEN-C3 PICASSO,3000,3,7.0,2013.0,68,Boîte manuelle,1560,6,1352.0,92
Très bon prix,123000,Boîte manuelle,Essence,Professionnel,5.0,3,SEAT-IBIZA,4450,3,9.0,2014.0,51,Boîte manuelle,1198,5,1049.0,69
Très bon prix,199428,Boîte automatique,Diesel,Professionnel,5.0,5,BMW-318,10950,3,4.0,2015.0,100,Boîte automatique,1995,1,1635.0,136
Bon prix,170000,Boîte automatique,Diesel,Professionnel,5.0,5,PEUGEOT-508,5950,2,6.0,2012.0,120,Boîte automatique,1997,1,1710.0,163
Pas d'information,110000,Boîte manuelle,Essence,Professionnel,7.0,5,BMW-216,9999,0,6.0,2016.0,75,Boîte manuelle,1499,7,1475.0,102
Bon prix,79196,Boîte manuelle,Essence,Professionnel,5.0,5,HYUNDAI-I30,7500,2,4.0,2013.0,73,Boîte manuelle,1396,7,,99
Très bon prix,19599,Boîte manuelle,Essence,Professionnel,5.0,5,CITROEN-C3,10250,3,10.0,2022.0,61,Boîte manuelle,1199,6,3980.0,83
